row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-09 08:51,2024-01-09,08:51,6 °C,Sunny.,6 km/h,62%,1026 mbar,16 km
2024-01-09 09:51,2024-01-09,09:51,7 °C,Passing clouds.,13 km/h,60%,1026 mbar,16 km
2024-01-09 10:51,2024-01-09,10:51,7 °C,Cloudy.,13 km/h,63%,1024 mbar,16 km
2024-01-09 11:51,2024-01-09,11:51,6 °C,Light rain. More clouds than sun.,19 km/h,76%,1022 mbar,14 km
2024-01-09 12:27,2024-01-09,12:27,6 °C,Light rain. Mostly cloudy.,19 km/h,79%,1021 mbar,14 km
2024-01-09 12:51,2024-01-09,12:51,6 °C,Overcast.,11 km/h,79%,1020 mbar,16 km
2024-01-09 13:51,2024-01-09,13:51,6 °C,Light rain. Overcast.,17 km/h,82%,1017 mbar,5 km
2024-01-09 14:07,2024-01-09,14:07,7 °C,Light rain. Overcast.,13 km/h,82%,1018 mbar,6 km
2024-01-09 14:51,2024-01-09,14:51,7 °C,Light rain. Fog.,13 km/h,85%,1015 mbar,6 km
2024-01-09 16:08,2024-01-09,16:08,7 °C,Light rain. Fog.,N/A,90%,1013 mbar,8 km
2024-01-09 16:51,2024-01-09,16:51,8 °C,Light rain. Fog.,13 km/h,86%,1010 mbar,8 km
2024-01-09 18:11,2024-01-09,18:11,9 °C,Rain. Fog.,N/A,90%,1007 mbar,5 km
2024-01-09 18:43,2024-01-09,18:43,11 °C,Light rain. Fog.,24 km/h,89%,1005 mbar,8 km
2024-01-09 19:51,2024-01-09,19:51,11 °C,Rain. Fog.,24 km/h,89%,1000 mbar,3 km
2024-01-09 20:36,2024-01-09,20:36,12 °C,Heavy rain. Fog.,19 km/h,89%,999 mbar,2 km
2024-01-09 20:51,2024-01-09,20:51,12 °C,Heavy rain. Fog.,17 km/h,93%,997 mbar,3 km
2024-01-09 21:13,2024-01-09,21:13,12 °C,Rain. Fog.,13 km/h,90%,996 mbar,3 km
2024-01-09 21:37,2024-01-09,21:37,12 °C,Rain. Fog.,22 km/h,90%,994 mbar,2 km
2024-01-09 22:05,2024-01-09,22:05,12 °C,Rain. Fog.,20 km/h,93%,993 mbar,2 km
2024-01-09 22:31,2024-01-09,22:31,13 °C,Light rain. Fog.,19 km/h,90%,992 mbar,4 km
2024-01-09 22:51,2024-01-09,22:51,13 °C,Heavy rain. Fog.,N/A,90%,990 mbar,2 km
2024-01-09 23:12,2024-01-09,23:12,13 °C,Heavy rain. Fog.,15 km/h,90%,992 mbar,1 km
2024-01-09 23:22,2024-01-09,23:22,13 °C,Rain. Fog.,7 km/h,90%,992 mbar,5 km
2024-01-09 23:38,2024-01-09,23:38,13 °C,Rain. Fog.,9 km/h,90%,992 mbar,4 km
2024-01-10 00:01,2024-01-10,00:01,14 °C,Rain. Fog.,9 km/h,90%,990 mbar,5 km
2024-01-10 00:09,2024-01-10,00:09,14 °C,Rain. Fog.,11 km/h,90%,990 mbar,4 km
2024-01-10 00:38,2024-01-10,00:38,13 °C,Light rain. Fog.,17 km/h,90%,988 mbar,6 km
2024-01-10 00:51,2024-01-10,00:51,13 °C,Light rain. Fog.,9 km/h,90%,986 mbar,8 km
2024-01-10 01:51,2024-01-10,01:51,12 °C,Low clouds.,11 km/h,93%,985 mbar,14 km
2024-01-10 02:11,2024-01-10,02:11,13 °C,Light rain. Fog.,13 km/h,93%,985 mbar,3 km
2024-01-10 02:24,2024-01-10,02:24,13 °C,Light rain. Fog.,13 km/h,90%,985 mbar,8 km
2024-01-10 02:51,2024-01-10,02:51,13 °C,Low clouds.,9 km/h,93%,983 mbar,14 km
2024-01-10 03:36,2024-01-10,03:36,13 °C,Mostly cloudy.,9 km/h,90%,983 mbar,14 km
